id	old_offset	pointer_offset	new_offset	new_runtime	bytes_cp932_with_null	old_marker	translation
BTL_0035	0x1E2450	0x1E2660	0x222620	0x008D6520	41	written	Ｈｉｇｈ－Ｒａｎｋｉｎｇ　Ｓｈｉｎｏｂｉ
BTL_0036	0x1E2670	0x20E724	0x222650	0x008D6550	17	too_small_9	Ｃａｌｔｒｏｐｓ
BTL_0037	0x1E2690	0x20E72C	0x222670	0x008D6570	27	written	Ｓｏｌｄｉｅｒ　Ｐｉｌｌｓ
BTL_0038	0x1E26B0	0x20E734	0x222690	0x008D6590	23	written	Ｊｏｎｉｎ　Ｓｈｏｅｓ
BTL_0039	0x1E26D0	0x20E73C	0x2226B0	0x008D65B0	25	written	Ｋａｋａｓｈｉ　Ｄｏｌｌ
BTL_0040	0x1E26F0	0x20E744	0x2226D0	0x008D65D0	23	written	Ｇｕｔｓ　Ｗｅｉｇｈｔ
BTL_0041	0x1E2710	0x20E74C	0x2226F0	0x008D65F0	27	written	Ｆｕｍａ　Ｓｈｕｒｉｋｅｎ
BTL_0042	0x1E2730	0x20E754	0x222710	0x008D6610	35	written	Ａｒｍｏｒ－Ｂｒｅａｋ　Ｃｈａｒｍ
BTL_0043	0x1E2760	0x20E75C	0x222740	0x008D6640	21	written	Ｋｉｋｋｏ　Ｐｉｌｌ
BTL_0044	0x1E2780	0x20E764	0x222760	0x008D6660	23	written	Ｂｌａｓｔ　Ｋｕｎａｉ
BTL_0045	0x1E27A0	0x20E76C	0x222780	0x008D6680	31	written	Ｅｘｐｌｏｓｉｖｅ　Ｋｕｎａｉ
BTL_0046	0x1E27C0	0x20E774	0x2227A0	0x008D66A0	25	too_small_9	Ｍｅｄｉｃａｌ　Ｐａｃｋ
BTL_0047	0x1E27E0	0x20E77C	0x2227C0	0x008D66C0	39	written	Ｈｉｄｄｅｎ　Ｃｌｏｕｄ　Ｓｃｒｏｌｌ
BTL_0048	0x1E2810	0x20E784	0x2227F0	0x008D66F0	35	written	Ｐｏｉｓｏｎ　Ｓｍｏｋｅ　Ｂｏｍｂ
BTL_0049	0x1E2830	0x20E78C	0x222820	0x008D6720	21	written	Ｐａｐｅｒ　Ｂｏｍｂ
BTL_0050	0x1E2850	0x20E794	0x222840	0x008D6740	23	written	Ｅｎｅｒｇｙ　Ｐｉｌｌ
BTL_0051	0x1E2870	0x20E79C	0x222860	0x008D6760	17	too_small_9	Ｔｏａｄ　Ｏｉｌ
BTL_0052	0x1E2890	0x20E7A4	0x222880	0x008D6780	29	too_small_10	Ｅｘｐｌｏｓｉｖｅ　Ｓｅａｌ
BTL_0053	0x1E28B0	0x20E7AC	0x2228A0	0x008D67A0	49	written	Ｔｈｏｕｓａｎｄ　Ｓｈａｄｏｗ　Ｓｈｕｒｉｋｅｎ
BTL_0054	0x1E28E0	0x20E7B4	0x2228E0	0x008D67E0	19	too_small_10	Ｓｔｕｎ　Ｂｏｍｂ
BTL_0055	0x1E2900	0x20E7BC	0x222900	0x008D6800	23	written	Ｇａｍｂｌｅ　Ｂｏｍｂ
BTL_0056	0x1E2918	0x20E7C4	0x222920	0x008D6820	21	written	Ｉｔｅｍ　Ｐｏｕｃｈ
BTL_0057	0x1E2930	0x20E7CC	0x222940	0x008D6840	51	written	Ｎｉｎｊａ　Ｔｏｏｌ　Ｂａｒｒａｇｅ　Ｓｃｒｏｌｌ
BTL_0058	0x1E2960	0x20E7D4	0x222980	0x008D6880	27	written	Ｇｏｌｄ　Ｏｒｎａｍｅｎｔ
BTL_0059	0x1E2990	0x20E7DC	0x2229A0	0x008D68A0	21	written	Ａｍｂｅｒ　Ｌｕｍｐ
BTL_0060	0x1E29B0	0x20E7E4	0x2229C0	0x008D68C0	17	too_small_9	Ｏｌｄ　Ｃｏｉｎ
BTL_0061	0x1E29C0	0x20E7EC	0x2229E0	0x008D68E0	49	written	Ｓｐｅｃｉａｌ　Ｎｅｇｏｔｉａｔｉｏｎ　Ｐａｓｓ
BTL_0062	0x1E29F0	0x20E7F4	0x222A20	0x008D6920	19	too_small_10	Ｒｕｂｙ　Ｒｉｎｇ
BTL_0063	0x1E2A20	0x20E7FC	0x222A40	0x008D6940	29	written	Ｈｅａｌｉｎｇ　Ｓｃｒｏｌｌ
BTL_0064	0x1E2A40	0x20E804	0x222A60	0x008D6960	21	written	Ｓｉｌｖｅｒ　Ｂａｒ
BTL_0065	0x1E2A70	0x20E80C	0x222A80	0x008D6980	21	written	Ｔｅａｍ　Ｆｌｕｔｅ
BTL_0066	0x1E2A90	0x20E814	0x222AA0	0x008D69A0	27	written	Ｒａｒｅ　Ｔｒｅａｓｕｒｅ
BTL_0067	0x1E2AB0	0x20E81C	0x222AC0	0x008D69C0	39	written	Ｆｕｌｌ－Ｐｏｗｅｒ　Ｈｅａｄｂａｎｄ
BTL_0068	0x1E2AE0	0x20E824	0x222AF0	0x008D69F0	33	written	Ｃｏｎｃｅａｌｍｅｎｔ　Ｒｏｂｅ
BTL_0069	0x1E2B10	0x1E2E30	0x222B20	0x008D6A20	203	written	<color00FFFF>Ｕｌｔｉｍａｔｅ　Ｃｈａｉｎ<colorFFFFFF>：　ｆｉｇｈｔ　ｔｈｅ　ｓｅｔ　ｏｐｐｏｎｅｎｔｓ　ｉｎ　ａ　ｒｏｗ　ａｎｄ　ｓｕｒｖｉｖｅ　ｔｏ　ｔｈｅ　ｅｎｄ　ｔｏ　ｅａｒｎ　ｒｅｗａｒｄｓ．
BTL_0070	0x1E2C00	0x1E2E34	0x222BF0	0x008D6AF0	203	written	<color00FFFF>Ｓｕｒｖｉｖａｌ<colorFFFFFF>：　ｆｉｇｈｔ　ｒａｎｄｏｍｌｙ　ａｐｐｅａｒｉｎｇ　ｏｐｐｏｎｅｎｔｓ　ｅｎｄｌｅｓｓｌｙ　ａｎｄ　ｓｅｅ　ｈｏｗ　ｌｏｎｇ　ｙｏｕ　ｃａｎ　ｓｕｒｖｉｖｅ．
BTL_0071	0x1E2CD0	0x1E2E38	0x222CC0	0x008D6BC0	159	written	<color00FFFF>Ｃｕｓｔｏｍ　Ｒｕｌｅｓ　Ｂａｔｔｌｅ<colorFFFFFF>：　ｆｒｅｅｌｙ　ｓｅｔ　ｂａｔｔｌｅ　ｃｏｎｄｉｔｉｏｎｓ　ｂｅｆｏｒｅ　ｆｉｇｈｔｉｎｇ．
BTL_0072	0x1E2D80	0x1E2E3C	0x222D60	0x008D6C60	75	written	Ｑｕｉｔ　<color00FFFF>Ｈｏｔ－Ｂｌｏｏｄｅｄ　Ｖｅｒｓｕｓ<colorFFFFFF>？
BTL_0073	0x1E2DE0	0x1E2E40	0x222DB0	0x008D6CB0	57	written	Ｓｔａｒｔ　<color00FFFF>Ｓｕｒｖｉｖａｌ<colorFFFFFF>？
BTL_0074	0x1E2F60	0x1E2FE4	0x222DF0	0x008D6CF0	25	written	Ｃｈｕｎｉｎ　Ｌｅｖｅｌ
BTL_0075	0x1E2F80	0x1E2FE8	0x222E10	0x008D6D10	23	written	Ｊｏｎｉｎ　Ｌｅｖｅｌ
BTL_0076	0x1E2FA0	0x1E2FEC	0x222E30	0x008D6D30	25	written	Ｈｏｋａｇｅ　Ｌｅｖｅｌ
BTL_0077	0x1E2FC0	0x1E2FF0	0x222E50	0x008D6D50	29	written	Ｓｐｅｃｉａｌ　Ｂａｔｔｌｅ
BTL_0078	0x1E3000	0x1E3080	0x222E70	0x008D6D70	31	written	Ｓｅｌｅｃｔ　ａ　ｌｅｖｅｌ．
BTL_0079	0x1E3030	0x1E3084	0x222E90	0x008D6D90	29	written	Ｓｅｌｅｃｔ　ａ　ｒａｎｋ．
BTL_0080	0x1E3060	0x1E3088	0x222EB0	0x008D6DB0	23	written	Ｉｓ　ｔｈｉｓ　ＯＫ？
BTL_0092	0x1E3470	0x1E3494	0x222ED0	0x008D6DD0	9	too_small_5	Ｅａｓｙ
BTL_0093	0x1E3480	0x1E349C	0x222EE0	0x008D6DE0	9	too_small_5	Ｈａｒｄ
BTL_0094	0x1E34A8	0x1E34F0	0x222EF0	0x008D6DF0	23	too_small_4	Ｕｎａｖａｉｌａｂｌｅ
BTL_0095	0x1E34B8	0x1E34F4	0x222F10	0x008D6E10	13	too_small_7	Ｒａｎｄｏｍ
BTL_0096	0x1E34C8	0x1E34F8	0x222F20	0x008D6E20	15	too_small_8	Ｃｏｍｍａｎｄ
BTL_0097	0x1E34D8	0x1E34FC	0x222F30	0x008D6E30	13	too_small_7	Ｔｉｍｉｎｇ
BTL_0098	0x1E3510	0x20E8F0	0x222F40	0x008D6E40	27	written	Ｐｒｅｓｅｔ　Ｒｕｌｅ　１
BTL_0099	0x1E3540	0x20E8FC	0x222F60	0x008D6E60	27	written	Ｐｒｅｓｅｔ　Ｒｕｌｅ　２
BTL_0100	0x1E3570	0x20E908	0x222F80	0x008D6E80	27	written	Ｐｒｅｓｅｔ　Ｒｕｌｅ　３
BTL_0101	0x1E35A0	0x20E914	0x222FA0	0x008D6EA0	39	written	Ｚｅｒｏ－Ｇｒａｖｉｔｙ　Ｂａｔｔｌｅ
BTL_0102	0x1E35D0	0x20E920	0x222FD0	0x008D6ED0	75	written	Ｂａｔｔｌｅ　ｗｉｔｈ　ｅｘｔｒｅｍｅ　ｓｐｅｅｄ　ｄｉｆｆｅｒｅｎｃｅｓ
BTL_0103	0x1E3620	0x20E92C	0x223020	0x008D6F20	55	written	Ｂａｔｔｌｅ　ｔｈｒｏｕｇｈ　ｈｅａｖｙ　ｄａｍａｇｅ
BTL_0104	0x1E3650	0x20E938	0x223060	0x008D6F60	29	written	Ｅｘｔｒｅｍｅ　Ｂａｔｔｌｅ
BTL_0105	0x1E38E0	0x1E3904	0x223080	0x008D6F80	15	too_small_6	Ｓｈｉｎｏｂｉ
BTL_0106	0x1E38F0	0x1E3908	0x223090	0x008D6F90	17	too_small_9	％ｓ　Ｃｏｕｎｔ
BTL_0108	0x1E39C0	0x20EF30	0x2230B0	0x008D6FB0	33	written	Ｄｅｆｅａｔｅｄ　Ｓｈｉｎｏｂｉ
BTL_0109	0x1E39E0	0x20EF34	0x2230E0	0x008D6FE0	34	written	％ｓ<color000000>　Ｓｈｉｎｏｂｉ
BTL_0110	0x1E3A00	0x20EF38	0x223110	0x008D7010	21	written	Ｃｌｅａｒ　Ｔｉｍｅ
BTL_0111	0x1E3A10	0x20EF3C	0x223130	0x008D7030	30	written	％ｓ<color000000>　Ｃｏｕｎｔ
BTL_0119	0x1E3B10	0x1E3B88	0x223150	0x008D7050	27	written	Ｎｅｗ　ｒａｎｋ　＂％ｓ＂
BTL_0121	0x1E3B90	0x1E3BD8	0x223170	0x008D7070	29	written	Ｎｅｗ　ｌｅｖｅｌ　＂％ｓ＂
BTL_0122	0x1E3BE0	0x1E3E20	0x223190	0x008D7090	99	written	Ａｌｌ－ｃｌｅａｒ　ｒｅｗａｒｄ　ｆｏｒ　<color080860>Ｕｌｔｉｍａｔｅ　Ｃｈａｉｎ<color000000>！
BTL_0123	0x1E3C50	0x1E3E28	0x223200	0x008D7100	93	written	Ｇｏｔ　ｅｑｕｉｐｍｅｎｔ　＂<color2820FF>Ｃｏｎｃｅａｌｍｅｎｔ　Ｒｏｂｅ<color000000>＂！
BTL_0124	0x1E3CD0	0x1E3E30	0x223260	0x008D7160	143	written	Ｉｎ　<color080860>Ｆｒｅｅ　Ｂａｔｔｌｅ<color000000>　ａｎｄ　ｏｔｈｅｒ　<color080860>Ｄｉｆｆｉｃｕｌｔｙ<color000000>　ｓｅｔｔｉｎｇｓ，
BTL_0125	0x1E3D40	0x1E3E34	0x2232F0	0x008D71F0	131	written	ｔｈｅ　ｔｏｕｇｈｅｓｔ　ｄｉｆｆｉｃｕｌｔｙ，　＂<color2820FF>Ｕｌｔｉｍａｔｅ<color000000>＂，　ｈａｓ　ｂｅｅｎ　ａｄｄｅｄ！
BTL_0126	0x1E3DD0	0x1E3E38	0x223380	0x008D7280	77	written	Ｓｋｉｌｌｅｄ　ｆｉｇｈｔｅｒｓ，　ｔａｋｅ　ｔｈｅ　ｃｈａｌｌｅｎｇｅ！！
BTL_0127	0x1E3E40	0x1E3F00	0x2233D0	0x008D72D0	57	written	<color080860>Ｒａｎｋｉｎｇ　Ｒｅｗａｒｄ！<color000000>
BTL_0128	0x1E3E80	0x1E3F08	0x223410	0x008D7310	57	written	Ｆｏｒ　ｐｌａｃｉｎｇ　<color2820FF>％ｓ<color000000>，
BTL_0129	0x1E3ED0	0x1E3F0C	0x223450	0x008D7350	61	written	ｙｏｕ　ｒｅｃｅｉｖｅ　＂<color2820FF>％ｓ<color000000>＂！
BTL_0132	0x1E5550	0x20FEE8	0x223490	0x008D7390	41	written	Ｄｅｆｅａｔ　ｗｉｔｈ　Ｎｉｎｊｕｔｓｕ
BTL_0133	0x1E5590	0x20FEF4	0x2234C0	0x008D73C0	47	written	Ｄｅｆｅａｔ　ｗｉｔｈ　ａｎ　Ｕｌｔｉｍａｔｅ
BTL_0134	0x1E55C0	0x20FF00	0x2234F0	0x008D73F0	49	written	Ｄｅｆｅａｔ　ｗｉｔｈ　Ｔｅａｍ　Ａｔｔａｃｋｓ
BTL_0135	0x1E5600	0x20FF0C	0x223530	0x008D7430	51	written	Ｄｅｃｅｉｖｅ　ｗｉｔｈ　Ｓｕｂｓｔｉｔｕｔｉｏｎ
BTL_0136	0x1E5640	0x20FF18	0x223570	0x008D7470	53	written	Ｃｈａｓｅ　ｗｉｔｈ　Ｐｕｒｓｕｉｔ　Ａｔｔａｃｋｓ
BTL_0137	0x1E5680	0x20FF24	0x2235B0	0x008D74B0	43	written	Ｏｖｅｒｗｈｅｌｍ　ｗｉｔｈ　ｃｏｍｂｏｓ
BTL_0138	0x1E56D0	0x20FF30	0x2235E0	0x008D74E0	63	written	Ａｔｔａｃｋ　ｗｉｔｈ　ｓｐｅｃｉａｌ　ｎｉｎｊａ　ｔｏｏｌｓ
BTL_0139	0x1E5710	0x20FF3C	0x223620	0x008D7520	49	written	Ｄｅｆｅａｔ　ｔｈｅ　ｅｎｅｍｙ　ｑｕｉｃｋｌｙ
BTL_0140	0x1E5750	0x20FF48	0x223660	0x008D7560	41	written	Ｐｒｅｓｅｒｖｅ　ｙｏｕｒ　ｈｅａｌｔｈ
BTL_0141	0x1E5790	0x20FF54	0x223690	0x008D7590	43	written	Ｄｅｆｅａｔ　ｔｈｅ　ｓｔｒｏｎｇ　ｆｏｅ
BTL_0142	0x1E57C0	0x20FF60	0x2236C0	0x008D75C0	41	written	Ｕｎｌｅａｓｈ　ｈｉｄｄｅｎ　ｐｏｗｅｒ
BTL_0143	0x1E5800	0x20FF6C	0x2236F0	0x008D75F0	59	written	Ｐｒｏｖｏｋｅ　ｔｈｅ　ｅｎｅｍｙ　ｗｉｔｈ　ｔａｕｎｔｓ
BTL_0144	0x1E5850	0x20FF78	0x223730	0x008D7630	51	written	Ｄｅｓｔｒｏｙ　ｂｒｅａｋａｂｌｅ　ｏｂｊｅｃｔｓ
BTL_0145	0x1E5880	0x20FF84	0x223770	0x008D7670	55	written	Ｃｏｍｐｌｅｔｅ　ｓｐｅｃｉａｌ　ｃｏｎｄｉｔｉｏｎｓ
BTL_0146	0x1E58C0	0x20FF90	0x2237B0	0x008D76B0	49	written	Ｂｒｅａｋ　ｔｈｅ　ｅｎｅｍｙ　Ｕｌｔｉｍａｔｅ
BTL_0147	0x1E5900	0x20FF9C	0x2237F0	0x008D76F0	39	written	Ｗｉｎ　ｔｈｅ　ｊｕｔｓｕ　ｃｌａｓｈ
BTL_0148	0x1E5940	0x20FFA8	0x223820	0x008D7720	51	written	Ｃｈａｌｌｅｎｇｅ　ｗｉｔｈ　Ａｆｔｅｒｉｍａｇｅ
BTL_0149	0x1E5980	0x20FFB4	0x223860	0x008D7760	35	written	Ｃｏｍｂｏ　％ｓＨｉｔ　Ｂｏｎｕｓ
BTL_0150	0x1E59A0	0x20FFC0	0x223890	0x008D7790	37	written	Ｈｅｌｄ　Ｉｔｅｍ　％ｓ　Ｂｏｎｕｓ
BTL_0151	0x1E59D0	0x20FFCC	0x2238C0	0x008D77C0	47	written	Ｓｔａｇｅ　Ｄｅｓｔｒｕｃｔｉｏｎ　Ｂｏｎｕｓ
BTL_0152	0x1E5A00	0x20FFD8	0x2238F0	0x008D77F0	41	written	Ａｆｔｅｒｉｍａｇｅ　Ｗｉｎ　Ｂｏｎｕｓ
BTL_0153	0x1E5A30	0x20FFE4	0x223920	0x008D7820	29	written	Ｕｌｔｉｍａｔｅ　Ｂｏｎｕｓ
BTL_0154	0x1E5A50	0x20FFF0	0x223940	0x008D7840	61	written	Ｄｅｆｅａｔ　Ｅｎｅｍｙ　ｉｎ　％ｓ　Ｃｏｕｎｔ　Ｂｏｎｕｓ
BTL_0155	0x1E5A90	0x20FFFC	0x223980	0x008D7880	35	written	１００％　Ｈｅａｌｔｈ　Ｂｏｎｕｓ
BTL_0156	0x1E5AC0	0x210008	0x2239B0	0x008D78B0	41	written	Ｃｈａｒａｃｔｅｒ　Ｐａｉｒ　Ｂｏｎｕｓ
BTL_0157	0x1E5AF0	0x210014	0x2239E0	0x008D78E0	63	written	Ｓｐｅｃｉａｌ　Ｔｅａｍ　Ａｔｔａｃｋ　％ｓＨｉｔ　Ｂｏｎｕｓ
BTL_0158	0x1E5B30	0x210020	0x223A20	0x008D7920	51	written	Ｔｅａｍ　Ｎｉｎｊｕｔｓｕ　％ｓＨｉｔ　Ｂｏｎｕｓ
BTL_0159	0x1E5B60	0x21002C	0x223A60	0x008D7960	51	written	Ｔｅａｍ　Ｕｌｔｉｍａｔｅ　％ｓＨｉｔ　Ｂｏｎｕｓ
BTL_0160	0x1E5BA0	0x1E5BE4	0x223AA0	0x008D79A0	11	too_small_6	ｔｉｍｅｓ
BTL_0161	0x1E5BB0	0x1E5BE8	0x223AB0	0x008D79B0	11	too_small_6	ｓｈｏｔｓ
BTL_0162	0x1E5BC0	0x1E5BEC	0x223AC0	0x008D79C0	11	too_small_6	Ｃｏｕｎｔ
BTL_0163	0x1E5BD0	0x1E5BF4	0x223AD0	0x008D79D0	7	too_small_4	ｐｃｓ
BTL_0172	0x208A30	0x208C60	0x223AE0	0x008D79E0	33	written	Ｃｏｎｔｒｏｌ　Ｓｅｔｔｉｎｇｓ
BTL_0173	0x208A50	0x208C64	0x223B10	0x008D7A10	37	written	Ｂａｓｉｃ　Ｃｏｍｍａｎｄ　Ｌｉｓｔ
BTL_0174	0x208A80	0x208C68	0x223B40	0x008D7A40	31	written	１Ｐ　Ｃｏｍｍａｎｄ　Ｌｉｓｔ
BTL_0175	0x208AA0	0x208C6C	0x223B60	0x008D7A60	31	written	２Ｐ　Ｃｏｍｍａｎｄ　Ｌｉｓｔ
BTL_0176	0x208AC0	0x208C70	0x223B80	0x008D7A80	37	written	１Ｐ／２Ｐ　Ｃｏｍｍａｎｄ　Ｌｉｓｔ
BTL_0177	0x208AF0	0x208C74	0x223BB0	0x008D7AB0	35	written	Ｐｒａｃｔｉｃｅ　Ｓｅｔｔｉｎｇｓ
BTL_0178	0x208B10	0x208C78	0x223BE0	0x008D7AE0	47	written	Ｓｉｍｐｌｅ　Ｄｉｓｐｌａｙ　Ｓｅｔｔｉｎｇｓ
BTL_0179	0x208B40	0x208C7C	0x223C10	0x008D7B10	21	written	Ｉｔｅｍ　Ｓｔｏｃｋ
BTL_0180	0x208B60	0x208C80	0x223C30	0x008D7B30	37	written	Ｍｉｓｓｉｏｎ　Ｃｏｎｄｉｔｉｏｎｓ
BTL_0181	0x208B90	0x208C84	0x223C60	0x008D7B60	33	written	Ｃｌｅａｒ　Ｃｏｎｄｉｔｉｏｎｓ
BTL_0182	0x208BB0	0x208C88	0x223C90	0x008D7B90	43	written	Ｒｅｔｕｒｎ　ｔｏ　Ｍｏｄｅ　Ｓｅｌｅｃｔ
BTL_0183	0x208BE0	0x208C8C	0x223CC0	0x008D7BC0	53	written	Ｒｅｔｕｒｎ　ｔｏ　Ｃｈａｒａｃｔｅｒ　Ｓｅｌｅｃｔ
BTL_0184	0x208C10	0x208C90	0x223D00	0x008D7C00	39	written	Ｒｅｔｕｒｎ　ｔｏ　Ｈｅｒｏ　Ｍｏｄｅ
BTL_0186	0x208CA8	0x208CD8	0x223D30	0x008D7C30	13	too_small_7	Ｃａｎｃｅｌ
BTL_0187	0x208CF0	0x208E40	0x223D40	0x008D7C40	15	too_small_9	Ｖｅｒｓｕｓ：
BTL_0188	0x208D10	0x208E44	0x223D50	0x008D7C50	19	written	Ｐｒａｃｔｉｃｅ：
BTL_0189	0x208D30	0x208E48	0x223D70	0x008D7C70	53	written	Ｅｎｄ　ｔｈｉｓ　ｍｏｄｅ？<iconCANCEL>Ｃａｎｃｅｌ
BTL_0190	0x208D80	0x208E4C	0x223DB0	0x008D7CB0	35	written	Ｅｎｄ　ａｎｄ　ｒｅｔｕｒｎ　ｔｏ
BTL_0191	0x208DA0	0x208E50	0x223DE0	0x008D7CE0	33	written	Ｃｈａｒａｃｔｅｒ　Ｓｅｌｅｃｔ
BTL_0192	0x208DC0	0x208E54	0x223E10	0x008D7D10	23	written	Ｍｏｄｅ　Ｓｅｌｅｃｔ
BTL_0193	0x208DE0	0x208E58	0x223E30	0x008D7D30	19	too_small_10	Ｈｅｒｏ　Ｍｏｄｅ
BTL_0194	0x208DF0	0x208E5C	0x223E50	0x008D7D50	53	written	Ｒｅｔｕｒｎ　ｔｈｅｒｅ？　<iconCANCEL>Ｃａｎｃｅｌ
BTL_0196	0x208EE0	0x208F60	0x223E90	0x008D7D90	19	too_small_10	Ｉｔｅｍ　Ｎａｍｅ
BTL_0197	0x208F00	0x208F64	0x223EB0	0x008D7DB0	11	too_small_6	Ｏｗｎｅｄ
BTL_0198	0x208F20	0x208F68	0x223EC0	0x008D7DC0	9	too_small_5	Ｕｓｅｄ
BTL_0199	0x208F40	0x208F6C	0x223ED0	0x008D7DD0	25	written	Ｅｍｐｔｙ　Ｓｔｏｃｋｓ
BTL_0200	0x208F70	0x2092D4	0x223EF0	0x008D7DF0	31	too_small_10	Ｃｈａｋｒａ　Ｇａｕｇｅ　１＋
BTL_0201	0x208FA0	0x2092D8	0x223F10	0x008D7E10	31	too_small_10	Ｃｈａｋｒａ　Ｇａｕｇｅ　２＋
BTL_0202	0x208FD0	0x2092DC	0x223F30	0x008D7E30	29	too_small_9	Ｃｈａｋｒａ　Ｇａｕｇｅ　３
BTL_0203	0x208FF0	0x2092E0	0x223F50	0x008D7E50	25	written	Ｇｒｏｕｎｄ　Ｔｈｒｏｗ
BTL_0204	0x209010	0x2092E4	0x223F70	0x008D7E70	19	too_small_10	Ａｉｒ　Ｔｈｒｏｗ
BTL_0205	0x209030	0x2092E8	0x223F90	0x008D7E90	23	written	Ｄｕｒｉｎｇ　Ｊｕｍｐ
BTL_0206	0x209050	0x2092EC	0x223FB0	0x008D7EB0	23	written	Ｕｓｅｓ　Ｃｈａｋｒａ
BTL_0207	0x209070	0x2092F0	0x223FD0	0x008D7ED0	25	written	Ｃｏｕｎｔｅｒ　Ｍｏｖｅ
BTL_0208	0x209090	0x2092F4	0x223FF0	0x008D7EF0	19	too_small_10	Ｍａｓｈ　Ｍｏｖｅ
BTL_0209	0x2090B0	0x2092F8	0x224010	0x008D7F10	23	written	Ｃｈａｒｇｅ　Ｍｏｖｅ
BTL_0210	0x2090D0	0x2092FC	0x224030	0x008D7F30	27	written	Ａｉｒ　Ｍａｓｈ　Ｍｏｖｅ
BTL_0211	0x209100	0x209300	0x224050	0x008D7F50	31	written	Ａｉｒ　Ｃｈａｒｇｅ　Ｍｏｖｅ
BTL_0212	0x209130	0x209304	0x224070	0x008D7F70	43	written	Ｕｓｅｓ　Ｃｈａｋｒａ　／　Ｃｏｕｎｔｅｒ
BTL_0213	0x209170	0x209308	0x2240A0	0x008D7FA0	41	written	Ｕｓｅｓ　Ｃｈａｋｒａ　／　Ｃｈａｒｇｅ
BTL_0214	0x2091A0	0x20930C	0x2240D0	0x008D7FD0	37	written	Ｕｓｅｓ　Ｃｈａｋｒａ　／　Ｍａｓｈ
BTL_0215	0x2091D0	0x209310	0x224100	0x008D8000	33	written	Ｃｈａｒｇｅ　Ｍｏｖｅ　Ｗｅａｋ
BTL_0216	0x209200	0x209314	0x224130	0x008D8030	37	written	Ｃｈａｒｇｅ　Ｍｏｖｅ　Ｓｔｒｏｎｇ
