id	offset_hex	source_japanese	chosen_translation	notes	enabled
BTL_0065	0x1E2A70	<r連係|れんけい>の<r笛|ふえ>	Team Flute	from filtered v13 patched row; explicit apply v17	yes
BTL_0066	0x1E2A90	<r稀代|きだい>の<r秘宝|ひほう>	Rare Treasure	from filtered v13 patched row; explicit apply v17	yes
BTL_0067	0x1E2AB0	<r全開|ぜんかい>の<r額当|ひたいあ>て	Full-Power Headband	from filtered v13 patched row; explicit apply v17	yes
BTL_0068	0x1E2AE0	<r気配遮断装束|けはいしゃだんしょうぞく>	Concealment Robe	from filtered v13 patched row; explicit apply v17	yes
BTL_0069	0x1E2B10	<color00FFFF><r究極連激戦|ナルティメットれんげきせん><colorFFFFFF>では、<r定|さだ>められた<r相手|あいて>と<r連続|れんぞく>で<r闘|たたか>い、<r最後|さいご>まで<r勝|か>ち<r残|のこ>ることで<r報酬|ほうしゅう>を<r得|え>ることができます。	<color00FFFF>Ultimate Chain<colorFFFFFF>: fight the set opponents in a row and survive to the end to earn rewards.	from filtered v13 patched row; explicit apply v17	yes
BTL_0070	0x1E2C00	<color00FFFF><r壮絶|そうぜつ>サバイバル<colorFFFFFF>ではランダムで<r出現|しゅつげん>する<r相手|あいて>と<r無限|むげん>に<r闘|たたか>い、どこまで<r勝|か>ち<r残|のこ>れるかを<r競|きそ>うことができます。	<color00FFFF>Survival<colorFFFFFF>: fight randomly appearing opponents endlessly and see how long you can survive.	from filtered v13 patched row; explicit apply v17	yes
BTL_0071	0x1E2CD0	<color00FFFF><r自分|じぶん>ルール<r戦闘|せんとう><colorFFFFFF>では、<r戦闘条件|せんとうじょうけん>を<r任意|にんい>に<r設定|せってい>して<r闘|たたか>うことができます。	<color00FFFF>Custom Rules Battle<colorFFFFFF>: freely set battle conditions before fighting.	from filtered v13 patched row; explicit apply v17	yes
BTL_0072	0x1E2D80	<color00FFFF><r熱血対戦|ねっけつたいせん><colorFFFFFF>を<r終了|しゅうりょう>しますか？	Quit <color00FFFF>Hot-Blooded Versus<colorFFFFFF>?	from filtered v13 patched row; explicit apply v17	yes
BTL_0073	0x1E2DE0	<color00FFFF><r壮絶|そうぜつ>サバイバル<colorFFFFFF>を開始しますか？	Start <color00FFFF>Survival<colorFFFFFF>?	from filtered v13 patched row; explicit apply v17	yes
BTL_0074	0x1E2F60	<r中忍|ちゅうにん>レベル	Chunin Level	from filtered v13 patched row; explicit apply v17	yes
BTL_0075	0x1E2F80	<r上忍|じょうにん>レベル	Jonin Level	from filtered v13 patched row; explicit apply v17	yes
BTL_0076	0x1E2FA0	<r火影|ほかげ>レベル	Hokage Level	from filtered v13 patched row; explicit apply v17	yes
BTL_0077	0x1E2FC0	<r特殊戦闘|とくしゅせんとう>	Special Battle	from filtered v13 patched row; explicit apply v17	yes
BTL_0078	0x1E3000	レベルを<r選択|せんたく>してください。	Select a level.	from filtered v13 patched row; explicit apply v17	yes
BTL_0079	0x1E3030	ランクを<r選択|せんたく>してください。	Select a rank.	from filtered v13 patched row; explicit apply v17	yes
BTL_0080	0x1E3060	これでよろしいでしょうか？	Is this OK?	from filtered v13 patched row; explicit apply v17	yes
BTL_0082	0x1E3110	<ruby好|す>きな<ruby条件|じょうけん>を<ruby設定|せってい>してください。	Set any conditions you like.	from filtered v13 patched row; explicit apply v17	yes
BTL_0083	0x1E3160	ＣＯＭの<ruby強|つよ>さを<ruby変更|へんこう>できます。	Change COM strength.	from filtered v13 patched row; explicit apply v17	yes
BTL_0084	0x1E31A0	<ruby奥義|おうぎ>の<ruby入力勝負|にゅうりょくしょうぶ>を<ruby変更|へんこう>できます。	Change the Ultimate input battle.	from filtered v13 patched row; explicit apply v17	yes
BTL_0085	0x1E3200	『はい』を<ruby選択|せんたく>で<ruby戦闘|せんとう>を<ruby開始|かいし>します。	Select Yes to start the battle.	from filtered v13 patched row; explicit apply v17	yes
BTL_0086	0x1E3250	<ruby条件|じょうけん>が１つも<ruby設定|せってい>されていないです。	No conditions have been set.	from filtered v13 patched row; explicit apply v17	yes
BTL_0087	0x1E32A0	すでに<ruby設定済|せっていず>みです。	Already set.	from filtered v13 patched row; explicit apply v17	yes
BTL_0089	0x1E3370	基本条件	Basic	from filtered v13 patched row; explicit apply v17	yes
BTL_0090	0x1E3380	<ruby方向|ほうこう>キー<ruby左右|さゆう>でＣＯＭの<ruby強|つよ>さを<ruby変更|へんこう>できます。	Press Left/Right to change COM strength.	from filtered v13 patched row; explicit apply v17	yes
BTL_0091	0x1E33F0	<ruby方向|ほうこう>キー<ruby左右|さゆう>で<ruby奥義|おうぎ>の<ruby入力勝負|にゅうりょくしょうぶ>を<ruby変更|へんこう>できます。	Press Left/Right to change the Ultimate input battle.	from filtered v13 patched row; explicit apply v17	yes
BTL_0092	0x1E3470	やさしい	Easy	from filtered v13 patched row; explicit apply v17	yes
BTL_0093	0x1E3480	むずかしい	Hard	from filtered v13 patched row; explicit apply v17	yes
BTL_0095	0x1E34B8	ランダム	Random	from filtered v13 patched row; explicit apply v17	yes
BTL_0096	0x1E34C8	コマンド	Command	from filtered v13 patched row; explicit apply v17	yes
BTL_0097	0x1E34D8	タイミング	Timing	from filtered v13 patched row; explicit apply v17	yes
BTL_0098	0x1E3510	お<r手軽条件|てがるじょうけん>１	Preset Rule 1	from filtered v13 patched row; explicit apply v17	yes
BTL_0099	0x1E3540	お<r手軽条件|てがるじょうけん>２	Preset Rule 2	from filtered v13 patched row; explicit apply v17	yes
BTL_0100	0x1E3570	お<r手軽条件|てがるじょうけん>３	Preset Rule 3	from filtered v13 patched row; explicit apply v17	yes
BTL_0101	0x1E35A0	<r無重力戦闘|むじゅうりょくせんとう>	Zero-Gravity Battle	from filtered v13 patched row; explicit apply v17	yes
BTL_0102	0x1E35D0	<r速度差|そくどさ>が<r激|はげ>しい<r状態|じょうたい>で<r戦闘|せんとう>	Battle with extreme speed differences	from filtered v13 patched row; explicit apply v17	yes
BTL_0103	0x1E3620	<r大|だい>ダメージにめげずに<r戦闘|せんとう>	Battle through heavy damage	from filtered v13 patched row; explicit apply v17	yes
BTL_0104	0x1E3650	<r極限戦闘|きょくげんせんとう>	Extreme Battle	from filtered v13 patched row; explicit apply v17	yes
BTL_0105	0x1E38E0	<r忍|にん>	Shinobi	from filtered v13 patched row; explicit apply v17	yes
BTL_0106	0x1E38F0	%sカウント	%s Count	from filtered v13 patched row; explicit apply v17	yes
BTL_0107	0x1E3960	<r壮絶|そうぜつ>サバイバル	Survival	from filtered v13 patched row; explicit apply v17	yes
BTL_0108	0x1E39C0	<r撃破忍数|げきはにんずう>	Defeated Shinobi	from filtered v13 patched row; explicit apply v17	yes
BTL_0109	0x1E39E0	%s<color000000><r忍|にん>	%s<color000000> Shinobi	from filtered v13 patched row; explicit apply v17	yes
BTL_0110	0x1E3A00	クリアタイム	Clear Time	from filtered v13 patched row; explicit apply v17	yes
BTL_0111	0x1E3A10	%s<color000000>カウント	%s<color000000> Count	from filtered v13 patched row; explicit apply v17	yes
BTL_0112	0x1E3A30	<r忍名|しのびめい>	Shinobi Name	from filtered v13 patched row; explicit apply v17	yes
BTL_0113	0x1E3A50	<r所持金|しょじきん>	Money Held	from filtered v13 patched row; explicit apply v17	yes
BTL_0114	0x1E3A70	<r報酬金|ほうしゅうきん>	Reward Money	from filtered v13 patched row; explicit apply v17	yes
BTL_0115	0x1E3A90	<r両|りょう>	Ryo	from filtered v13 patched row; explicit apply v17	yes
BTL_0116	0x1E3AA0	クリア<r報酬|ほうしゅう>	Clear Reward	from filtered v13 patched row; explicit apply v17	yes
BTL_0117	0x1E3AC0	レベルクリア<r報酬|ほうしゅう>	Level Clear Reward	from filtered v13 patched row; explicit apply v17	yes
BTL_0118	0x1E3AE0	「<color2820FF>%s<color000000>」クリア！	"Cleared ""%s""!"	from filtered v13 patched row; explicit apply v17	yes
BTL_0119	0x1E3B10	<r新|あら>たなランク「<color2820FF>%s<color000000>」に	"New rank ""%s"""	from filtered v13 patched row; explicit apply v17	yes
BTL_0120	0x1E3B50	<r挑戦|ちょうせん>できるようになりました！！	is now available!!	from filtered v13 patched row; explicit apply v17	yes
BTL_0121	0x1E3B90	<r新|あら>たなレベル「<color2820FF>%s<color000000>」に	"New level ""%s"""	from filtered v13 patched row; explicit apply v17	yes
BTL_0122	0x1E3BE0	「<color080860><r究極連激戦|ナルティメットれんげきせん><color000000>」<r全|ぜん>クリア<r報酬|ほうしゅう>！	All-clear reward for <color080860>Ultimate Chain<color000000>!	from filtered v13 patched row; explicit apply v17	yes
BTL_0123	0x1E3C50	<r装備品|そうびひん>「<color2820FF><r気配遮断装束|けはいしゃだんしょうぞく><color000000>」を<r手|て>に<r入|い>れた！	"Got equipment ""<color2820FF>Concealment Robe<color000000>""!"	from filtered v13 patched row; explicit apply v17	yes
BTL_0124	0x1E3CD0	「<color080860>フリーバトル<color000000>」などの「<color080860><r難易度設定|なんいどせってい><color000000>」に	In <color080860>Free Battle<color000000> and other <color080860>Difficulty<color000000> settings,	from filtered v13 patched row; explicit apply v17	yes
BTL_0125	0x1E3D40	<r最|もっと>も<r手強|てごわ>い<r難易度|なんいど>の「<color2820FF><r究極|ナルティメット><color000000>」が<r追加|ついか>されました！	"the toughest difficulty, ""<color2820FF>Ultimate<color000000>"", has been added!"	from filtered v13 patched row; explicit apply v17	yes
BTL_0126	0x1E3DD0	<r腕|うで>に<r覚|おぼ>えのある<r者|もの>よ、<r挑戦|ちょうせん>せよ！！	Skilled fighters, take the challenge!!	from filtered v13 patched row; explicit apply v17	yes
BTL_0127	0x1E3E40	<color080860>ランクイン<r報酬|ほうしゅう>！<color000000>	<color080860>Ranking Reward!<color000000>	from filtered v13 patched row; explicit apply v17	yes
BTL_0128	0x1E3E80	<color2820FF>%s<r位|い><color000000>に<r入賞|にゅうしょう>した<r君|きみ>に	For placing <color2820FF>%s<color000000>,	from filtered v13 patched row; explicit apply v17	yes
BTL_0129	0x1E3ED0	「<color2820FF>%s<color000000>」をプレゼント！	"you receive ""<color2820FF>%s<color000000>""!"	from filtered v13 patched row; explicit apply v17	yes
BTL_0130	0x1E4170	%s × %s<r個|こ>	%s × %s	from filtered v13 patched row; explicit apply v17	yes
BTL_0131	0x1E4190	<r自分|じぶん>ルール<r戦闘|せんとう>	Custom Rules Battle	from filtered v13 patched row; explicit apply v17	yes
BTL_0132	0x1E5550	<r敵|てき>は<r忍術|にんじゅつ>にて<r攻|せ>めるべし	Defeat with Ninjutsu	from filtered v13 patched row; explicit apply v17	yes
BTL_0133	0x1E5590	<r敵|てき>は<r奥義|おうぎ>にて<r攻|せ>めるべし	Defeat with an Ultimate	from filtered v13 patched row; explicit apply v17	yes
BTL_0134	0x1E55C0	<r敵|てき>は<r連係攻撃|れんけいこうげき>にて<r攻|せ>めるべし	Defeat with Team Attacks	from filtered v13 patched row; explicit apply v17	yes
BTL_0135	0x1E5600	<r変|か>わり<r身|み>にて<r敵|てき>を<r欺|あざむ>くべし	Deceive with Substitution	from filtered v13 patched row; explicit apply v17	yes
BTL_0136	0x1E5640	<r追|お>い<r討|う>ちにて<r敵|てき>を<r追撃|ついげき>すべし	Chase with Pursuit Attacks	from filtered v13 patched row; explicit apply v17	yes
BTL_0137	0x1E5680	<r連続|れんぞく><r攻撃|こうげき>にて<r敵|てき>を<r圧倒|あっとう>するべし	Overwhelm with combos	from filtered v13 patched row; explicit apply v17	yes
BTL_0138	0x1E56D0	<r特殊忍具|とくしゅにんぐ>を<r用|もち>いて<r攻|せ>めるべし	Attack with special ninja tools	from filtered v13 patched row; explicit apply v17	yes
BTL_0139	0x1E5710	<r敵|てき>は<r素早|すばや>く<r排除|はいじょ>すべし	Defeat the enemy quickly	from filtered v13 patched row; explicit apply v17	yes
BTL_0140	0x1E5750	<r己|おのれ>の<r体力|たいりょく>は<r温存|おんぞん>すべし	Preserve your health	from filtered v13 patched row; explicit apply v17	yes
BTL_0141	0x1E5790	<r強者|つわもの>を<r打|う>ち<r破|やぶ>るべし	Defeat the strong foe	from filtered v13 patched row; explicit apply v17	yes
BTL_0142	0x1E57C0	<r秘|ひ>めたる<r力|ちから>を<r解|と>き<r放|はな>つべし	Unleash hidden power	from filtered v13 patched row; explicit apply v17	yes
BTL_0143	0x1E5800	<r挑発|ちょうはつ>を<r以|も>って<r敵|てき>を<r刺激|しげき>すべし	Provoke the enemy with taunts	from filtered v13 patched row; explicit apply v17	yes
BTL_0144	0x1E5850	<r壊|こわ>れ<r物|もの>を<r破壊|はかい>すべし	Destroy breakable objects	from filtered v13 patched row; explicit apply v17	yes
BTL_0145	0x1E5880	<r特殊|とくしゅ><r条件|じょうけん>を<r完遂|かんすい>すべし	Complete special conditions	from filtered v13 patched row; explicit apply v17	yes
BTL_0146	0x1E58C0	<r敵|てき>の<r奥義|おうぎ>を<r打|う>ち<r破|やぶ>るべし	Break the enemy Ultimate	from filtered v13 patched row; explicit apply v17	yes
BTL_0147	0x1E5900	<r術|じゅつ>の<r競|せ>り<r合|あ>いにて<r勝利|しょうり>すべし	Win the jutsu clash	from filtered v13 patched row; explicit apply v17	yes
BTL_0148	0x1E5940	<r敵|てき>に<r残影|ざんえい>をもって<r挑|いど>むべし	Challenge with Afterimage	from filtered v13 patched row; explicit apply v17	yes
BTL_0149	0x1E5980	コンボ<r数|すう>%sHitボーナス	Combo %sHit Bonus	from filtered v13 patched row; explicit apply v17	yes
BTL_0150	0x1E59A0	<r所持|しょじ>アイテム%s<r個|こ>ボーナス	Held Item %s Bonus	from filtered v13 patched row; explicit apply v17	yes
BTL_0151	0x1E59D0	<r背景破壊|はいけいはかい>ボーナス	Stage Destruction Bonus	from filtered v13 patched row; explicit apply v17	yes
BTL_0152	0x1E5A00	<r残影勝利|ざんえいしょうり>ボーナス	Afterimage Win Bonus	from filtered v13 patched row; explicit apply v17	yes
BTL_0153	0x1E5A30	<r奥義|おうぎ>ボーナス	Ultimate Bonus	from filtered v13 patched row; explicit apply v17	yes
BTL_0154	0x1E5A50	<r敵|てき>%sカウント<r以内撃破|いないげきは>ボーナス	Defeat Enemy in %s Count Bonus	from filtered v13 patched row; explicit apply v17	yes
BTL_0156	0x1E5AC0	キャラクター<r組|く>み<r合|あ>わせボーナス	Character Pair Bonus	from filtered v13 patched row; explicit apply v17	yes
BTL_0157	0x1E5AF0	<r特殊連係攻撃|とくしゅれんけいこうげき>%sHitボーナス	Special Team Attack %sHit Bonus	from filtered v13 patched row; explicit apply v17	yes
BTL_0158	0x1E5B30	<r連係忍術|れんけいにんじゅつ>%sHitボーナス	Team Ninjutsu %sHit Bonus	from filtered v13 patched row; explicit apply v17	yes
BTL_0159	0x1E5B60	<r連係奥義|れんけいおうぎ>%sHitボーナス	Team Ultimate %sHit Bonus	from filtered v13 patched row; explicit apply v17	yes
BTL_0162	0x1E5BC0	カウント	Count	from filtered v13 patched row; explicit apply v17	yes
BTL_0165	0x203090	赤丸スライドアタック	Akamaru Slide Attack	from filtered v13 patched row; explicit apply v17	yes
BTL_0166	0x2030B0	ダイナミックマーキング	Dynamic Marking	from filtered v13 patched row; explicit apply v17	yes
BTL_0167	0x2030D0	ブタ体当たりフィニッシュ	Pig Tackle Finish	from filtered v13 patched row; explicit apply v17	yes
BTL_0169	0x203110	忍犬　フィニッシュ	Ninken Finish	from filtered v13 patched row; explicit apply v17	yes
BTL_0171	0x203150	鬼鮫スイコウダン	Water Shark	from filtered v13 patched row; explicit apply v17	yes
BTL_0172	0x208A30	<r操作設定|そうさせってい>	Control Settings	from filtered v13 patched row; explicit apply v17	yes
BTL_0173	0x208A50	<r基本操作|きほんそうさ>コマンド<r表|ひょう>	Basic Command List	from filtered v13 patched row; explicit apply v17	yes
BTL_0174	0x208A80	１Ｐコマンド<r表|ひょう>	1P Command List	from filtered v13 patched row; explicit apply v17	yes
BTL_0175	0x208AA0	２Ｐコマンド<r表|ひょう>	2P Command List	from filtered v13 patched row; explicit apply v17	yes
BTL_0176	0x208AC0	１Ｐか２Ｐのコマンド表（設定しろや）	1P/2P Command List	from filtered v13 patched row; explicit apply v17	yes
BTL_0177	0x208AF0	<r練習設定|れんしゅうせってい>	Practice Settings	from filtered v13 patched row; explicit apply v17	yes
BTL_0178	0x208B10	かんたん<r表示|ひょうじ><r設定|せってい>	Simple Display Settings	from filtered v13 patched row; explicit apply v17	yes
BTL_0179	0x208B40	アイテムストック	Item Stock	from filtered v13 patched row; explicit apply v17	yes
BTL_0180	0x208B60	<r任務|にんむ>の<r条件|じょうけん>	Mission Conditions	from filtered v13 patched row; explicit apply v17	yes
BTL_0181	0x208B90	クリア<r条件|じょうけん>	Clear Conditions	from filtered v13 patched row; explicit apply v17	yes
BTL_0182	0x208BB0	ゲームモード<r選択|せんたく>に<r戻|もど>る	Return to Mode Select	from filtered v13 patched row; explicit apply v17	yes
BTL_0183	0x208BE0	キャラクター<r選択|せんたく>に<r戻|もど>る	Return to Character Select	from filtered v13 patched row; explicit apply v17	yes
BTL_0184	0x208C10	ヒーローモードに<r戻|もど>る	Return to Hero Mode	from filtered v13 patched row; explicit apply v17	yes
BTL_0185	0x208C30	<r対戦|たいせん>を<r終了|しゅうりょう>する	End Battle	from filtered v13 patched row; explicit apply v17	yes
BTL_0186	0x208CA8	キャンセル	Cancel	from filtered v13 patched row; explicit apply v17	yes
BTL_0187	0x208CF0	<r対戦|たいせん>	Versus:	from filtered v13 patched row; explicit apply v17	yes
BTL_0188	0x208D10	<r練習|れんしゅう>	Practice:	from filtered v13 patched row; explicit apply v17	yes
BTL_0190	0x208D80	を<r終了|しゅうりょう>して	End and return to	from filtered v13 patched row; explicit apply v17	yes
BTL_0191	0x208DA0	キャラクター<r選択|せんたく>	Character Select	from filtered v13 patched row; explicit apply v17	yes
BTL_0192	0x208DC0	ゲームモード<r選択|せんたく>	Mode Select	from filtered v13 patched row; explicit apply v17	yes
BTL_0193	0x208DE0	ヒーローモード	Hero Mode	from filtered v13 patched row; explicit apply v17	yes
BTL_0196	0x208EE0	アイテム<r名|めい>	Item Name	from filtered v13 patched row; explicit apply v17	yes
BTL_0197	0x208F00	<r所持数|しょじすう>	Owned	from filtered v13 patched row; explicit apply v17	yes
BTL_0198	0x208F20	<r使用数|しようすう>	Used	from filtered v13 patched row; explicit apply v17	yes
BTL_0199	0x208F40	<r空|あき>ストック<r数|すう>	Empty Stocks	from filtered v13 patched row; explicit apply v17	yes
BTL_0200	0x208F70	チャクラゲージ<r壱以上|いちいじょう>	Chakra Gauge 1+	from filtered v13 patched row; explicit apply v17	yes
BTL_0201	0x208FA0	チャクラゲージ<r弐以上|にいじょう>	Chakra Gauge 2+	from filtered v13 patched row; explicit apply v17	yes
BTL_0202	0x208FD0	チャクラゲージ<r参|さん>	Chakra Gauge 3	from filtered v13 patched row; explicit apply v17	yes
BTL_0203	0x208FF0	<r地上|ちじょう><r投|な>げ	Ground Throw	from filtered v13 patched row; explicit apply v17	yes
BTL_0204	0x209010	<r空中|くうちゅう><r投|な>げ	Air Throw	from filtered v13 patched row; explicit apply v17	yes
BTL_0205	0x209030	ジャンプ<r中|ちゅう>に	During Jump	from filtered v13 patched row; explicit apply v17	yes
BTL_0206	0x209050	チャクラ<r消費|しょうひ>	Uses Chakra	from filtered v13 patched row; explicit apply v17	yes
BTL_0207	0x209070	<r当|あ>て<r身技|みわざ>	Counter Move	from filtered v13 patched row; explicit apply v17	yes
BTL_0208	0x209090	<r連打技|れんだわざ>	Mash Move	from filtered v13 patched row; explicit apply v17	yes
BTL_0209	0x2090B0	<r溜|た>め<r技|わざ>	Charge Move	from filtered v13 patched row; explicit apply v17	yes
BTL_0210	0x2090D0	<r空中|くうちゅう><r連打技|れんだわざ>	Air Mash Move	from filtered v13 patched row; explicit apply v17	yes
BTL_0211	0x209100	<r空中|くうちゅう><r溜|た>め<r技|わざ>	Air Charge Move	from filtered v13 patched row; explicit apply v17	yes
BTL_0212	0x209130	チャクラ<r消費|しょうひ>／<r当|あ>て<r身技|みわざ>	Uses Chakra / Counter	from filtered v13 patched row; explicit apply v17	yes
BTL_0213	0x209170	チャクラ<r消費|しょうひ>／<r溜|た>め<r技|わざ>	Uses Chakra / Charge	from filtered v13 patched row; explicit apply v17	yes
