fresh_id	module	na2_function	nun5_function	na2_file_offsets	nun5_file_offsets	na2_masks	nun5_masks	existing_patch_id	current_scope	classification	evidence
ELF-K010	ELF	FUN_00387e10	FUN_00399610	0x00287F44;0x00287FC8	0x002997C4;0x002997D0	circle;cross	cross;triangle	ELF-M010	in_scope	Controller assignment handler.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
ELF-N005	ELF	FUN_003881f0	FUN_00399a00	0x00288330;0x00288360	0x00299BC0;0x00299BCC	circle;cross	cross;triangle	-	in_scope	Second controller-assignment subhandler.	Fresh structural twin; exact instruction bytes validated in clean regional ELFs; called for both players from controller settings states.
ELF-N006	ELF	FUN_00389550	FUN_0039ae40	0x00289680;0x0028974C	0x0029AFF4;0x0029B000	circle;cross	cross;triangle	-	in_scope	Sound Settings handler with accept, rollback/cancel, reset, and directional edits.	Fresh structural twin; exact instruction bytes validated in clean regional ELFs.
ELF-K011	ELF	FUN_0038a8b0	FUN_0039c210	0x0028A9F8;0x0028AA44	0x0029C3D8;0x0029C3E4	circle;cross	cross;triangle	ELF-M011	in_scope	Screen-position adjustment handler.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
ELF-K012	ELF	FUN_0038b710	FUN_0039d0f0	0x0028B824;0x0028B8F0	0x0029D284;0x0029D290	circle;cross	cross;triangle	ELF-M012	in_scope	Settings/options state handler.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
ELF-K013	ELF	FUN_0038bac0	FUN_0039d4b0	0x0028BC00;0x0028BC24	0x0029D670;0x0029D67C	circle;cross	cross;triangle	ELF-M013	in_scope	Settings numeric/list selector.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
ELF-N007	ELF	FUN_00390920	FUN_003a25e0	0x00290AE8	0x002A2828	circle	cross	-	unknown	Timed confirm-to-advance state after a short delay.	Fresh structural twin; exact instruction bytes validated in clean regional ELFs; runtime screen not mapped.
ELF-N008	ELF	FUN_003b79a0	FUN_003ca4d0	0x002B7ABC;0x002B7B34	0x002CA66C;0x002CA678	circle;cross	cross;triangle	-	in_scope_likely	Two-item front-end/setup submenu with cyclic navigation, accept, and cancel.	Fresh structural twin; exact instruction bytes validated in clean regional ELFs.
ELF-K014	ELF	FUN_003bbbb0	FUN_003ce810	0x002BBF6C;0x002BC2D8	0x002CEC04;0x002CECFC	cross*2	triangle*2	ELF-M014	in_scope	Two-player join/selection cancel paths.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
ELF-K015	ELF	FUN_003bc320	FUN_003cef70	0x002BC478;0x002BC4B4	0x002CF148;0x002CF154	circle;cross	cross;triangle	ELF-M015	in_scope	Five-item front-end selector.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
ELF-N009	ELF	FUN_001e6ce0	FUN_001ecad0	0x000E6ED0;0x000E6F24	0x000ECCF0;0x000ECD2C	circle;cross	cross;triangle	ELF-M024	in_scope	Shared two-choice Yes/No modal used by save/load, overwrite, and return-to-title states.	Fresh complete-function comparison; exact instruction bytes validated in clean regional ELFs; four callers align with the remaining prompt screenshots.
ELF-N010	ELF	FUN_001df690	FUN_001e5300	0x000DF910;0x000DFB0C	0x000E55D4;0x000E5758	start|circle;start|circle|cross	start|cross;start|cross|triangle	ELF-M025	in_scope	Title-screen state controller.	Fresh complete-function comparison anchored by title.ccs and ANM_title_menu01 references; exact combined-mask instructions validated in clean regional ELFs.
ELF-N011	ELF	FUN_003b5df0	FUN_003c8880	0x002B5F64;0x002B5F84;0x002B5FF0;0x002B60FC;0x002B611C;0x002B6150	0x002C8A68;0x002C8A74;0x002C8A8C;0x002C8AE8;0x002C8AF4;0x002C8B00	circle;cross;triangle;circle;cross;triangle	cross;triangle;circle;cross;triangle;circle	ELF-M026	in_scope	Per-player character and linked-character selection handler with two internal states.	Fresh complete-function comparison; exact instructions validated in clean regional ELFs; controller index routing and Square operation2 are unchanged.
ELF-N012	ELF	FUN_001df140	FUN_001e4d90	0x000DF29C	0x000E4F44	start|circle	start|cross	ELF-M027	in_scope	Title New Game/Continue selector.	Fresh complete-function comparison identified the child selector missed by the existing title controller patch; exact combined-mask instruction bytes validated in clean regional ELFs.
ELF-N013	ELF	FUN_003b6910	FUN_003c9400	0x002B6A54;0x002B6C70;0x002B6CDC;0x002B6DE8;0x002B7000;0x002B7034	0x002C95BC;0x002C95C8;0x002C95D4;0x002C9630;0x002C963C;0x002C9648	circle;cross;triangle;circle;cross;triangle	cross;triangle;circle;cross;triangle;circle	ELF-M028	in_scope	Per-player support-selection handler with two internal states.	Fresh complete-function comparison; exact instructions validated in clean regional ELFs; controller index routing and Square operation2 are unchanged.
ETC-SUMMARY	ETC	-	-	35 ordinal face-button tests	35 ordinal face-button tests	33 rotated;2 square unchanged	33 rotated;2 square unchanged	ETC-M001..ETC-M019	test_control	Coherent separate UI module; likely Shop/Collection ownership.	Independent raw scan: equal count and exact ordinal correspondence; all changed ordinals follow the regional permutation.
BTL-N001	BTL	FUN_0087c370	FUN_008d8be0	0x001C8560;0x001C86AC;0x001C86D4	0x001D1FB8;0x001D21A0;0x001D1FC4	circle;circle;cross	cross;cross;triangle	BTL-M019	in_scope	Shared Practice and Free Battle command-list and command-chart controller (ccStartMenuPrivateCmd).	Complete-function comparison resolves two branches reordered by the regional compiler: the player/view branch aligns 0x001C86AC to 0x001D21A0 and the close branch aligns 0x001C86D4 to 0x001D1FC4. Runtime screenshots isolate both remaining failures to these views.
BTL-UI001	BTL	FUN_006bd4d0	FUN_006d0850	0x00009ABC..0x00009B23;0x00009B78;0x00009B84;0x00009BA0;0x00009BA4;0x00009BD4;0x00009BE0;0x00009BFC;0x00009C00;0x0020C9E0	0x0000A06C;0x0000A070;0x0000A0F4;0x0000A0F8;ELF:0x004DE0F0	open=horizontal+mode0-unrotated	open=vertical+pi/2,-pi/2	UI-BTL-007	in_scope	Open VS Jutsu-selector draw method.	Complete-function comparison proves NUN5 omits the horizontal draws and uses the localized right-facing record with opposite rotations. Direct NA2 rotation writes fail in sprite mode 0; persistent mode transplants corrupt unrelated UI. The verified compatibility helper occupies only the replaced dead horizontal blocks, enables mode 1 per draw, flushes before restoring mode 0, and uses exact NUN5 angle/record donors. Paired hidden-runtime capture is visually accepted.
BTL-UI002	BTL	FUN_00878820	FUN_00894f60	0x0021D648	0x002214D8	rect=194,195,20,20	rect=1,225,20,22	UI-BTL-008	in_scope	Shared Command Menu and Command Chart scroll-indicator renderer.	Both homologs draw one TEX_xselect record twice with the first draw rotated by pi. Paired Slots 5 and 6 reuse one sprite object per game; only the rectangle differs, so one exact NUN5 BTL copy fixes both views without changing pulse-dependent placement.
BTL-UI003	BTL	FUN_006c0cc0	FUN_006d4130	0x0000CF70;0x0000CFFC;0x0000D014;0x0000D020;0x0000D038;ELF:0x004D4790	0x0000D5E8..0x0000D64C;0x0000D6A8;ELF:0x004DE9F0	records=70x22+separate-glyph;anchors=400,470	records=56/64x22-combined;anchors=400,470	UI-BTL-005	in_scope	VS confirmation prompt and bottom-legend renderer.	The complete NUN5 Cross/OK and Triangle/Back records are exact ELF donors, but the homologous wrappers advance their shared sprite differently. Paired calibrated runs prove NA2 anchors 388/462 reproduce NUN5 raster positions 400/470 at dx=0,dy=0. The exact NUN5 Customize Jutsu X=260 halfword also works after the selector correction.
BTL-SUMMARY	BTL	-	-	137 ordinal face-button tests	137 ordinal face-button tests	45 selected structural rotation candidates;84 unchanged;8 exceptional	45 selected structural rotation candidates;84 unchanged;8 exceptional	BTL-M001..BTL-M021	runtime_menu_effect_proven_causality_revised	Battle-owned setup, stage, command, pause, and related UI state handlers.	The broad BTL build corrected multiple reported battle-adjacent menus. Complete-function analysis of ccStartMenuPrivateCmd then recovered two reordered regional branches missed by ordinal matching, accounting for the last dead command overlays and wrong-player view. The three-button ccCommand input encoder remains untouched because it is identical across regions and belongs to battle input semantics.
ETC-UI001	ETC	FUN_006b6ee0	FUN_006c9f90	0x0002E930;0x00030A80	0x000281C0;0x00029A60	centers=100,220;width=118	centers=87,233;width=144	UI-ETC-002	in_scope	Collection Characters page-control draw method (ccHomeIspSelectChar).	Factory and active-object pointers align in paired memory; homologous draw loops consume the complete paired center and atlas-rectangle tables. Whole NUN5 HOME.CCS supplies pixels only, so both exact NUN5 tables must be copied into NA2 ETC.
ETC-UI002	ETC	FUN_006c7c30	FUN_006db410	0x00030490;0x00030498;0x000304A0	ELF:0x004DDC50;ELF:0x004DDC58;ELF:0x004DDC60	rects=1,1,192,34;1,37,136,34;1,83,80,37	rects=0,0,192,28;0,28,96,28;0,56,96,28	UI-ETC-002	in_scope	Collection Characters, Movie, and Music category-title helper.	NUN5 FUN_003d4170 selects locale-0 rectangles through pointer table 0x005BB2D0; all three paired ETC position records are identical. Paired states prove NA2's first two rectangles sample the following NUN5 row and its third misses the Music row, so all three exact localized records are copied.
ETC-UI003	ETC	FUN_006b44b0	FUN_006c7250	0x0002E790	ELF:0x004DDC70	rect=120,24,72,24	rect=144,24,72,24	UI-ETC-002	in_scope	Common HOME Play/Stop prompt compositor; state argument 2 draws Play.	NUN5 FUN_003d4210 selects the locale-0 Play rectangle through pointer table 0x005BB310. Paired Movie/Music states show NA2's X=120 selection clipping the NUN5 atlas control; only Play is copied and the adjacent unreviewed Stop record remains unchanged.
ETC-UI004	ETC	FUN_006bafc0	FUN_006ce150	0x0002EB40;0x00030AB0	0x000283D0;0x00029A90	positions=single-row-y360;zoom-width=108	positions=2x2-y339,364;zoom-width=112	UI-ETC-002	in_scope	Four-item Collection viewer-control renderer for Zoom In, Zoom Out, Move, and Rotate.	Paired slot-1 memory and screenshots identify the exact four-record position and rectangle tables consumed by homologous four-iteration draw loops. NUN5 donor records restore the official 2x2 layout and full English Zoom labels; the shared Back helper is a separate accepted path and remains untouched.
